Hai.	Hai.
Lari!	Tegagh!
Siapa?	Sapa?
Api!	Apui!
Tolong!	Tulung!
Lompat!	Luppat!
Loncat.	Luccak.
Berhenti!	Beghadu!
Tunggu!	Tunggu!
Tunggu.	Tunggu.
Halo.	Halo.
Cepatlah!	Geluk!
Cepat!	Geluk!
Aku mengerti.	Nyak ngereti.
Aku melihat.	Nyak ngeliyak.
Oh, begitu.	Oh, ghena.
Saya melihat.	Nyak ngeliyak.
Aku paham.	Nyak paham.
Aku menang!	Nyak menang!
Aku menang.	Nyak menang!
Tenanglah.	Santai.
Santai.	Santai.
Senyum.	Senyum.
Serang!	Seghang!
Jangan bergerak!	Dang geghak!
Bangunlah.	Injak pai.
Aku mengerti!	Ngereti.
Mengerti?	Ngereti?
Aku tahu.	Nyak pandai.
Saya tahu.	Nyak pandai.
Aku berbohong.	Nyak nipu.
Saya berbohong.	Nyak nilop.
Aku menangis.	Nyak miwang.
Dengar.	Dengis.
Dengarkan.	Dengis.
Tak bisa!	Mak dapok!
Tidak mungkin!	Mak halok!
Benarkah?	Api benogh?
Beneran?	Api benogh?
Makasih!	Teghima kasih!
Terima kasih.	Teghima kasih!
Makasih.	Teghima kasih.
Kami mencoba.	Sikam nyuba.
Kenapa harus saya?	Ngapi haghus nyak?
Masuklah.	Kughuk pai.
Ayo!	Haya!
Keluar!	Keluwah!
Pergi!	Lijung!
Sampai jumpa!	Sampai tungga!
Sampai jumpa.	Sampai tungga!
Dia datang.	Ia ghatong.
Dia pergi.	Ia lapah.
Dia berlari.	Ia tegagh.
Tolong aku!	Tulung aku!
Tunggu sebentar.	Tunggu sekejo.
Aku setuju.	Nyak setuju.
Aku menangis.	Nyak miwang.
Aku merokok.	Nyak ngudut.
Saya sedih.	Nyak sedih.
Aku sedih.	Nyak sedih.
Tidak apa-apa.	Mak api-api.
Ini aku!	Sinji nyak!
Ini aku.	Sinji nyak.
Cium saya.	Undung nyak.
Cium aku.	Undung nyak.
Aku juga.	Nyak juga.
Diam!	Menong
Diamlah!	Menong pai
Tom menang.	Tom menang.
Bangun!	Injak!
Bangunlah!	Injak pai!
Bangunlah.	Injak pai.
Kita kalah.	Gham kalah.
Selamat datang.	Selamat ghatong.
Jangan bergerak.	Mak begeghak.
Kerja yang bagus!	Keghja sai helau!
Kerja bagus!	Keghja helau!
Tangkap Tom.	Tangkap Tom.
Aku gagal.	Nyak gagal.
Aku mengerti.	Nyak ngereti.
Aku menolak.	Nyak nulak.
Saya menolak.	Nyak nulak.
Aku tetap tinggal.	Nyak tetop menong.
Aku sudah selesai.	Nyak ghadu selesai.
Aku baik-baik saja.	Nyak helau-helau gawoh.
Saya senang.	Nyak handol.
Aku malas.	Nyak malas.
Saya tersesat.	Nyak sesasagh.
Aku baik-baik saja.	Nyak helau-helau gawoh.
Cuacanya panas.	Cuwacani panas.
Itu panas.	Heno panas.
Itu aneh.	Heno aneh.
Warnanya merah.	Waghani suluh.
Tinggalkan aku.	Tepikko nyak.
Ayo!	Payu!
Dia datang.	Ia ghatong.
Dia pergi.	Ia lapah.
Duduklah!	Mejong pai!
Duduklah.	Mejong pai.
Berdiri!	Megihu!
Berdirilah.	Megihu pai!
Hebat!	Hibat!
Mereka menang.	Tiyan menang.
Tom meninggal.	Tom ninggal.
Tom berbohong.	Tom nipu.
Tom bernyanyi.	Tom bepattun.
Percaya padaku.	Pecaya pada nyak.
Kami sudah mencoba.	Sikam ghadu nyuba.
Untuk apa?	Guwai api?
Dia siapa?	Ia sapa?
Siapa dia?	Sapa ia?
Tenanglah.	Tenong pai.
Kemari.	Ija.
Kemarilah.	Ija pai.
Datanglah ke sini.	Ghatong pai ija.
Datanglah segera.	Ghatong pai ghikas.
Anjing menggonggong.	Asu ngegunggung.
Jangan menangis.	Dang miwang.
Jangan mati.	Dang mati.
Lupakan.	Lupako.
Ambil gergaji.	Akuk geghaji.
Bersiaplah!	Besiyap pai!
Selamat tidur.	Selamat tughui.
Dia sakit.	Ia maghing.
Dia sedang sakit.	Ia lagi maghing.
Dia tersenyum.	Ia tesenyum.
Dia adalah seorang DJ.	Ia iyulah DJ.
Dia sedang sibuk.	Ia lagi sibuk.
Dia pemalas.	Ia pemalas.
Saya bisa bermain ski.	Nyak pandai bemayin ski.
Aku merangkak.	Nyak meghangkang.
Aku pingsan.	Nyak menya.
Saya pingsan.	Nyak sengelop.
